Rang;Ministère;Direction;Service/Bureau;Poste;
22;Ministère de l'Economie, des Finances et de la Relance;"Direction générale du trésor (DGT)
Service des Politiques Publiques";"Sous-direction des politiques sectorielles (POLSEC)
Bureau Climat, environnement et agriculture - POLSEC 4";"Adjointe au chef de bureau 
suivi des enjeux économiques et financiers liés au climat";
23;Ministère de l'Europe et des Affaires étangères;Direction de l’Europe continentale ;Sous-direction de l’Europe orientale;"Conseiller politique
 Politique étrangère de la Russie/ Ukraine – négociations en format Normandie / /Moldavie";
24;Ministère de l'Economie, des Finances et de la Relance;"Direction générale du trésor (DGT)
Service des affaires bilatérales et internationalisation des entreprises";"Sous-direction financement international des entreprises (FININTER)
Bureau financement des directs (FININTER2)";Adjointe au chef de bureau en charge du portefeuille de financements directs sectoriel « eau et environnement »;
25;Ministère de l'Europe et des Affaires étangères;Direction générale de la Mondialisation, de l’Enseignement, de la Culture et du Développement international;;Conseiller G7-G20, Enjeux globaux;
26;Ministère de l'Intérieur;Direction générale des collectivités locales (DGCL);"Sous-direction des finances locales et de l'action économique
Bureau des concours financiers de l’Etat";Adjoint au chef du bureau des concours financiers de l'Etat;
27;Ministère de l'Economie, des Finances et de la Relance;"Direction du Budget (DB)
Quatrième sous-direction";Bureau du logement, de la vile et des territoires (4BLVT);Adjoint au chef de bureau;
28;Ministère de l'Intérieur;;Préfecture de la Somme;Directeur de Cabinet du préfet;
29;Ministère de l'Economie, des Finances et de la Relance;"Direction générale des finances publiques (DGFIP)
Direction de la législation fiscale (DLF)";Sous-direction chargée des affaires européennes et internationales;Chargé de mission Présidence française de l’Union européenne;
30;Ministère de la Culture;Secrétariat général;"Service des affaires financières et générales
Département des affaires budgétaires et de la synthèse";Cheffe adjointe du département des affaires budgétaires et de la synthèse;
31;Ministère de l'Economie, des Finances et de la Relance;"Direction du Budget (DB)
Septième sous-direction";Bureau des affaires étrangères et de l'aide publique (7BAED);Adjoint au chef de bureau;
32;"Ministère de la Transition écologique, ministère de la cohésion des territoires
et des relations avec les collectivités ";Direction du transport aérien ;Sous-direction du service aérien;Chargé de mission « négociation des accords aériens »;
33;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Direction de la sécurité sociale (DSS);Sous-direction de l'accès au soin, des prestations familiales et des accidents du travail;Cheffe du bureau des accidents du travail et des maladies professionnels (2C);
34;Ministère de l'Economie, des Finances et de la Relance;"Direction du Budget (DB)
Cinquième sous-direction";Bureau des collectivités locales (5BCL);Adjoint au chef de bureau;
35;Ministère de l'Economie, des Finances et de la Relance;"Direction du Budget (DB)
Septième sous-direction";Bureau de l'agriculture (7BA);Adjoint à la cheffe de bureau;
36;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Direction de la sécurité sociale (DSS); Sous-direction du financement du système de soins;Chargé de mission auprès du sous-directeur du financement de la sécurité sociale, ayant vocation à devenir chef du bureau des relations avec les professionnels de santé (1B);
37;Tribunaux administratifs et cours administratives d'appel;Paris;            ;Conseiller;
38;Chambres régionales des comptes;Occitanie;;Conseiller;
39;Ministère des Armées;Direction des affaires juridiques (DAJ) ;"Sous-direction du droit international et du droit européen
Bureau du droit international public général (bureau I)";Cheffe de bureau ;
40;Ministère de l'Intérieur;Direction générale des Outre-Mer (DGOM);"Sous-direction des politiques publiques
Bureau des politiques européennes, d’insertion régionale et de valorisation de l’outre-mer (BPEIRVOM)";Cheffe du bureau des politiques européennes, d’insertion régionale et de valorisation de l’outre-mer;
41;Ministère de l'Economie, des Finances et de la Relance;"Direction générale des entreprises (DGE)
Service de l’industrie";;Cheffe de projets « relance et compétitivité de l’industrie »;
42;Tribunaux administratifs et cours administratives d'appel;Paris;;Conseillère;
43;Ministère des Armées;Direction générale de la sécurité extérieure;;;
44;Ministère de l'Intérieur;;Préfecture de la Charente-Maritime ;Directrice de Cabinet du préfet;
45;Ville de Paris;Direction des finances et des achats ;"Sous-direction du budget
Service de la synthèse budgétaire";Adjoint au chef du bureau de la synthèse budgétaire ;
46;Tribunaux administratifs et cours administratives d'appel;Paris;;Conseillère;
47;Ministère des Armées;Direction générale de l'armement (DGA) ;"Agence de l'innovation de défense
Cellule gouvernance et synthèse";Experte programme investissement d’avenir et partenariat écosystème d’innovation;
48;Ministère de l'Intérieur;;Préfecture des Pyrénées-Orientales;Directrice de Cabinet du préfet;
49;Tribunaux administratifs et cours administratives d'appel;Paris;;Conseiller;
50;Ministère de l'Agriculture et de l'Alimentation;Direction générale de la performance économique et environnementale des entreprises (DGPE);"Service Compétitivité et performance environnementale (SCPE)
Sous-direction Compétitivité (SDC)
Bureau gestion des risques (BGR)";Adjoint à la chef(fe) du bureau gestion des risques ;
51;Chambres régionales des comptes;Noisiel;;Conseiller;
52;Chambres régionales des comptes;Orléans;;Conseiller;
53;Ministère de l'Agriculture et de l'Alimentation;Direction générale de la performance économique et environnementale des entreprises (DGPE);"Service Europe et International (SEI)
Sous-direction Europe (SDE)
Bureau Union européenne (BUE)";Adjoint au Chef(fe) du bureau Union européenne ;
54;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Direction de la sécurité sociale (DSS);Sous-direction du pilotage du service public de la sécurité sociale;Chargée de mission auprès de la sous-directrice du pilotage du service public de la sécurité sociale, ayant vocation à devenir cheffe du bureau  du pilotage budgétaire et de la performance des organismes de sécurité sociale (4A);
55;Ministère de la Justice;Direction des affaires criminelles et des grâces ;"Sous-direction de la négociation et de la législation pénales
Bureau de la négociation pénale européenne et internationale";Adjointe au chef du bureau de la négociation pénale européenne et internationale;
56;Ministère des Armées;Direction des affaires financières (DAF) ;"Service des synthèses et du pilotage budgétaire
Bureau exécution budgétaire (SPB3)";Chef de bureau ;
57;Ministère de l'Intérieur;;Préfecture de la Seine-Maritime;Sous préfet, chargé de mission (politique de la ville / SGA);
58;Ministère de l'Intérieur;;Préfecture du Haut-Rhin;Directrice de Cabinet du préfet;
59;Ministère de l'Economie, des Finances et de la Relance;"Direction générale des douanes et droits indirects (DGDDI)
Direction nationale du renseignement et des enquêtes douanières (DNRED)";;Conseillère du directeur, en charge de la transformation, de la stratégie et de la prospective ;
60;Ministère de l'Economie, des Finances et de la Relance;"Direction générale de la concurrence, de la consommation et de la répression des fraudes (DGCCRF)
";"Sous-direction des services, des réseaux et du numérique
Bureau des médias, des communications électroniques, du secteur culturel et de l’économie des données (6B)";Adjoint au chef de bureau;
61;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Direction générale de l’offre de soins (DGOS);Sous-direction de la régulation de l’offre de soins;Chef du bureau du premier recours (R2);
62;Tribunaux administratifs et cours administratives d'appel;Cergy-Pointoise;;Conseiller;
63;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Direction générale du travail (DGT);"Service des relations et des conditions de travail
Sous-direction des relations individuelles et collectives du travail (RT)
Bureau de la durée et des revenus du travail (RT3)";Cheffe du bureau de la durée et des revenus du travail (RT3);
64;Ministère de l'Economie, des Finances et de la Relance;"Direction générale des finances publiques (DGFIP)
Direction départementale  des finances publiques de la Seine-Saint-Denis"; Pôle opérations de l’État et ressources;Adjoint au responsable du pôle opérations de l’État et ressources;
65;Tribunaux administratifs et cours administratives d'appel;Cergy-Pointoise;;Conseiller;
66;Tribunaux administratifs et cours administratives d'appel;Cergy-Pointoise;;Conseillère;
67;Ville de Paris;Direction des ressources humaines ;;Chargé de mission transformation et modernisation de la fonction RH (ayant vocation à devenir chef de la mission RH digitales);
68;Ministère de l'Intérieur;;Préfecture de l'Ain;Directeur de Cabinet du préfet;
69;Ministère de l'Intérieur;;Préfecture de la Vendée;Directeur de Cabinet du préfet;
70;Ministère de l'Economie, des Finances et de la Relance;"Secrétariat général
Service des achats, des finances et de l’immobilier (SAFI)";"Sous-direction des affaires financières et de la maîtrise des risques
Bureau de la synthèse budgétaire, gestion des finances publiques et des RH (SAFI 1B)";Cheffe du bureau de la synthèse budgétaire, gestion des finances publiques et des RH;
71;Ministère de la transformation et de la fonction publiques;"Direction générale de l'administration et de la fonction publique (DGAFP)
Service du pilotage des politiques de ressources humaines ";"Sous-direction de la synthèse statutaire, de la gouvernance et des partenariats 
Bureau du statut général, de la diffusion du droit et du dialogue social (1SGDS) ";Adjointe au chef de bureau ;
72;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Pôle Emploi;"Direction générale adjointe en charge du réseau
Direction de la qualité de service
Département Management de la qualité";"Chef du département «Management de la qualité""";
73;"Ministère de l'Education nationale, de la Jeunesse et des Sports
Ministère de l’enseignement supérieur, de la recherche et de l’innovation";"Région académique 
Provence-Alpes-Côte d'Azur";"Secrétariat général
Site du rectorat à Aix-en-Provence";Adjointe au secrétaire général de région académique Provence-Alpes-Côte d'Azur;
74;"Ministère de l'Education nationale, de la Jeunesse et des Sports
Ministère de l’enseignement supérieur, de la recherche et de l’innovation";Direction des affaires financières;"Sous-direction de l’enseignement privé
Bureau des personnels enseignants dans les établissements privés sous contrat - DAF D2";Chef du bureau du budget, de la performance et du dialogue de gestion de l'enseignement privé ;
75;Ville de Paris;Direction des familles et de la petite enfance;;Chargée de mission auprès du directeur en charge du pilotage des objectifs de la mandature, référent(e) de la direction sur les objectifs environnementaux, Contrôle interne ;
76;Ministère de la transformation et de la fonction publiques;"Direction générale de l'administration et de la fonction publique (DGAFP)
Service des parcours de carrière et des politiques salariales et sociales ";Sous-direction des politiques sociales et de la qualité de vie au travail;Chargée de mission auprès de la sous-directrice ;
77;Ministère de la Justice;Secrétariat général;"Service de l’expertise et de la modernisation
Sous-direction des affaires juridiques générales et du contentieux";Chef du bureau de la programmation, de la coordination et du contentieux de l’activité normative;
78;"Ministère de la Transition écologique, ministère de la cohésion des territoires
et des relations avec les collectivités ";Direction régionale et interdépartementale de l'environnement, de l'aménagement et des transports d'Ile-de-France (DRIEAT) ;Unité départementale des Hauts-de-Seine;"Chargé de mission à enjeux ""transition énergétique et transports""";
79;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Direction générale du travail (DGT);"Service des relations et des conditions de travail
Sous-direction des conditions de travail, de la santé et de la sécurité au travail
Bureau de la politique et des acteurs de la prévention";Adjoint au chef du bureau de la politique et des acteurs de la prévention (CT1), à vocation à devenir chef du bureau ;
80;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Direction générale de la cohésion sociale (DGCS);Sous-direction des professions sociales, de l’emploi et des territoires;Cheffe du bureau de l'emploi et de la politique salariale ;
81;"Ministère de l'Education nationale, de la Jeunesse et des Sports
Ministère de l’enseignement supérieur, de la recherche et de l’innovation";"Direction générale des ressources humaines
Service des enseignants de l’enseignement scolaire";"Sous-direction de la gestion prévisionnelle, de la formation et des affaires statutaires et règlementaires
";Chef du bureau des affaires statutaires et règlementaires ;
82;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Délégation générale à l’emploi et à la formation professionnelle (DGEFP);"Sous-direction des mutations économiques et de la sécurisation de l'emploi (SD MESE)
Mission ""Fonds national de l'emploi"" (FNE)";"Adjoint au chef de la mission "" fonds national de l'emploi""";
83;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Agence régionale de Santé Ile-de-France;Cabinet du directeur général;"Chef de projet ""relations territoriales et renforcement des délégations départementales""";
84;"Ministère de l'Education nationale, de la Jeunesse et des Sports
Ministère de l’enseignement supérieur, de la recherche et de l’innovation";Académie de Bordeaux;"Secrétariat général
Site du rectorat à Bordeaux";Chef de projet auprès du secrétaire général de l’académie de Bordeaux ;
non pourvu;"Ministère de la Transition écologique, ministère de la cohésion des territoires
et des relations avec les collectivités ";"Direction générale de l’aménagement du logement et de la nature (DGALN)
Direction de l’habitat, de l’urbanisme et des paysages (DHUP)";Sous-direction du financement et de l’économie du logement et de l’aménagement;Adjoint(e) au chef de bureau des aides personnelles au logement ;
non pourvu;Ministère du travail, de l’emploi et de l’insertion, ministère des solidarités et de la santé;Direction générale du travail (DGT);"Service des relations et des conditions de travail
Sous-direction des relations individuelles et collectives du travail (RT)
Bureau de la négociation collective (RT2)";Adjoint(e) à la cheffe du bureau de la négociation collective (RT2) en charge du pôle Négociation collective et restructuration des branches professionnelles, à vocation à devenir chef du bureau ;
